jobtitle_norm,soc_candidates,match_type,match_score
manager audit and recoveries global shared services north america,['13-2011.02'],fuzzy,100.0
manager automotive department,"['11-9071.00', '51-1011.00']",fuzzy,100.0
manager cash and banking,"['11-3031.00', '11-3031.02']",fuzzy,100.0
manager credit department,"['43-4041.01', '43-4041.02']",fuzzy,100.0
manager customer service currency mgmt,"['41-2011.00', '41-2031.00']",fuzzy,100.0
manager customer success,"['41-2011.00', '41-2031.00']",fuzzy,100.0
manager deputy branch,['11-9199.00'],fuzzy,100.0
manager devops sre,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager energetics systems research,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager engineering slim,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
manager european business,"['11-1021.00', '11-3011.00', '11-3031.01', '13-1011.00', '43-1011.00', '43-4041.01', '43-4041.02']",fuzzy,100.0
manager finance accounts,"['11-3031.02', '41-3011.00', '43-3021.02']",fuzzy,100.0
manager financial planning analysis,['13-2071.01'],fuzzy,100.0
manager financial planning analysis and risk,['13-2071.01'],fuzzy,100.0
manager format development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
manager format differentiation,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager guest member services,['39-9032.00'],fuzzy,100.0
manager h s management program corp h s duke energy,['47-4099.03'],fuzzy,100.0
manager health and wellness insurance accounts receivable global shared services north america,"['11-3031.02', '41-3011.00', '43-3021.02']",fuzzy,100.0
manager hr,['11-3031.01'],fuzzy,100.0
manager human resources,"['11-3121.00', '43-3051.00', '43-4071.00', '43-4161.00']",fuzzy,100.0
manager in training,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager internal audit enterprise risk market regulatory compliance global affairs,['13-2011.02'],fuzzy,100.0
manager inventory management,['43-5081.03'],fuzzy,100.0
manager learning development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
manager learning development internal comms,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
manager local marketing,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager medicaid case management,['21-1093.00'],fuzzy,100.0
manager medicaid compliance,"['11-9199.02', '13-1041.01', '13-2011.02', '13-2061.00', '45-2011.00', '47-4011.00', '51-9061.00']",fuzzy,100.0
manager merchandising,['13-1021.00'],fuzzy,100.0
manager networks,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager of accounting,"['13-2081.00', '43-3021.02', '43-3031.00', '43-3051.00']",fuzzy,100.0
manager of client operations,['43-4011.00'],fuzzy,100.0
manager of data communications,['27-3031.00'],fuzzy,100.0
manager of metrc compliance,"['11-9199.02', '13-1041.01', '13-2011.02', '13-2061.00', '45-2011.00', '47-4011.00', '51-9061.00']",fuzzy,100.0
manager of people development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
manager of product management,['43-6011.00'],fuzzy,100.0
manager of sales,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager of talent acquisition retention,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager of technical service,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager of telecommunications network security,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager on duty customer service manager,"['41-2011.00', '41-2031.00']",fuzzy,100.0
manager operational reporting risk management,['43-6011.00'],fuzzy,100.0
manager operations and sales,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager parliamentary liaison,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager payments consultant payments sme,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
manager planning and business coordination,"['11-1021.00', '11-3011.00', '11-3031.01', '13-1011.00', '43-1011.00', '43-4041.01', '43-4041.02']",fuzzy,100.0
manager produce food general merchandise,['11-9051.00'],fuzzy,100.0
manager project management,['43-6011.00'],fuzzy,100.0
manager quality assurance,['13-2011.02'],fuzzy,100.0
manager real estate accounting,"['13-2081.00', '43-3021.02', '43-3031.00', '43-3051.00']",fuzzy,100.0
manager service portfolio management,['43-6011.00'],fuzzy,100.0
manager strategic accounts,"['11-3031.02', '41-3011.00', '43-3021.02']",fuzzy,100.0
manager strategy special projects,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager supply chain,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manager training development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
manager wireless accounts receivables global shared services north america,"['11-3031.02', '41-3011.00', '43-3021.02']",fuzzy,100.0
manager workplace technology,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
managing arts editor and writer,"['27-3041.00', '27-3042.00', '27-4014.00', '27-4032.00', '43-9031.00', '43-9081.00']",fuzzy,100.0
managing enterprise architect,"['15-1199.02', '17-1011.00']",fuzzy,100.0
managing partner,['29-1069.02'],fuzzy,100.0
manger,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,92.3076923076923
manicurist,['39-5092.00'],exact,100.0
manufacturing engineering analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
manufacturing improvement leader,['51-1011.00'],fuzzy,100.0
manufacturing process engineer,['17-2199.04'],exact,100.0
manufacturing production manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
manufacturing technician,"['17-3026.00', '17-3029.09', '51-4021.00', '51-9023.00', '51-9141.00', '51-9199.00']",exact,100.0
market intelligence and marketing coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
market key theme specialist,"['13-1023.00', '41-9021.00']",fuzzy,100.0
market manager me nh vt,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
market research manager consumer product marketing,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
market research manager enterprise customer research,"['41-2011.00', '41-2031.00']",fuzzy,100.0
marketing,"['11-2011.01', '11-2021.00', '13-1161.00']",exact,100.0
marketing and communication manager,['31-9099.01'],fuzzy,100.0
marketing content manager,['15-1199.00'],fuzzy,100.0
marketing coordinator,"['11-2011.01', '11-2021.00', '13-1161.00']",exact,100.0
marketing coordinator genetic identity,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
marketing director partnerships,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
marketing events and merchandise,"['11-2011.01', '11-2021.00', '13-1161.00']",fuzzy,100.0
marketing manager,"['11-2011.00', '11-2021.00']",exact,100.0
marketing manager and of social media,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
marketing manager steri safe osha compliance program,"['11-9199.02', '13-1041.01', '13-2011.02', '13-2061.00', '45-2011.00', '47-4011.00', '51-9061.00']",fuzzy,100.0
marketing manager steri safe osha compliance program mystericycle com,"['11-9199.02', '13-1041.01', '13-2011.02', '13-2061.00', '45-2011.00', '47-4011.00', '51-9061.00']",fuzzy,100.0
marketing manager visual identity,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
marketing officer,['11-2021.00'],exact,100.0
marketing representative,"['13-1161.00', '41-3099.00', '41-4011.00']",exact,100.0
marketing research analyst,['13-1161.00'],exact,100.0
marketing specialist genetic identity,"['11-2011.01', '11-2021.00', '13-1161.00']",fuzzy,100.0
marketing supervisor,"['11-2011.01', '11-2021.00', '13-1161.00']",fuzzy,100.0
marketing underwriting human resources,"['11-3121.00', '43-3051.00', '43-4071.00', '43-4161.00']",fuzzy,100.0
mass affluent segment manager and bill payment project owner,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
master,['53-5021.01'],exact,100.0
master cermist,['53-5021.01'],fuzzy,100.0
master dental tech,"['29-1021.00', '31-9091.00', '51-9081.00']",fuzzy,100.0
master of ceremonies,['27-3012.00'],exact,100.0
master s thesis,['53-5021.01'],fuzzy,100.0
mathematics teacher,"['25-2021.00', '25-2022.00', '25-2031.00']",exact,100.0
meat cutter,"['51-3021.00', '51-3022.00', '51-3023.00']",exact,100.0
mechanical adjuster,['49-9071.00'],exact,100.0
mechanical adjuster material handler,"['13-1031.02', '13-2099.00', '51-2093.00', '51-4031.00', '51-9199.00']",fuzzy,100.0
mechanical engineer,['17-2141.00'],exact,100.0
mechanical engineering,"['17-3012.02', '17-3022.00', '17-3023.03', '17-3025.00', '17-3029.00', '17-3029.02', '17-3031.01']",fuzzy,100.0
medecin hospitalier pathologist french public university hospital,"['29-1069.00', '29-1069.07', '29-2012.00']",fuzzy,100.0
media,['43-4121.00'],exact,100.0
media buyer,"['13-1023.00', '27-3031.00']",exact,100.0
media coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
media director analytics consultant,['15-2031.00'],fuzzy,100.0
media planner,"['11-2021.00', '27-3031.00']",exact,100.0
media planner buyer,"['13-1021.00', '13-1022.00', '13-1023.00', '41-3099.01', '43-3061.00']",fuzzy,100.0
media production manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
media service technician,['43-4121.00'],fuzzy,100.0
medicaid reimbursement specialist,['21-1022.00'],fuzzy,100.0
medical coder financial counselor,['29-2071.00'],fuzzy,100.0
medical doctor,"['29-1061.00', '29-1062.00', '29-1063.00', '29-1064.00', '29-1065.00', '29-1066.00', '29-1067.00', '29-1069.00', '29-1069.06', '29-1069.12', '29-1129.00', '29-1199.00']",exact,100.0
medical front desk receptionist,['43-4081.00'],fuzzy,100.0
medical laboratory scientist,['19-1042.00'],exact,100.0
medical medical scientific affairs roche tissue diagnostics emea latam,['31-9092.00'],fuzzy,100.0
medical oncology consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
medical payment liaison,['31-9092.00'],fuzzy,100.0
medical psychology associates,['31-9092.00'],fuzzy,100.0
medical records coordinator,['29-2071.00'],exact,100.0
medical sales representative,['41-4011.00'],exact,100.0
meeting marketing communication manager genetic identity,['31-9099.01'],fuzzy,100.0
member,['25-1122.00'],fuzzy,100.0
member of hochschulsport uni ulm,['11-9111.00'],fuzzy,100.0
member of technical,['11-9111.00'],fuzzy,100.0
member relationship specialist line,['49-9052.00'],fuzzy,100.0
member sales representative,"['11-1031.00', '21-1029.00', '41-3011.00', '41-3099.00', '43-4199.00']",fuzzy,100.0
member services,['43-4081.00'],fuzzy,100.0
member services representative,"['43-3071.00', '43-4051.00']",exact,100.0
member technical,"['17-3029.12', '19-4041.01', '43-4121.00', '51-4122.00']",fuzzy,100.0
membership,['41-3099.00'],fuzzy,100.0
membership and individual giving coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
merchandise manager,"['11-3061.00', '13-1022.00', '27-1026.00']",exact,100.0
merchandise planner,"['11-3061.00', '13-1022.00']",exact,100.0
merchandise specialist,['43-5111.00'],fuzzy,100.0
merchandise team manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
merchandiser,"['13-1021.00', '13-1023.00', '13-1199.06', '27-1026.00', '41-9011.00', '53-3031.00']",exact,100.0
merchandising for new store implementation,"['27-1026.00', '41-2022.00', '41-2031.00', '43-4171.00']",fuzzy,100.0
metallurgical engineer,['17-2131.00'],exact,100.0
meteorology,['25-1051.00'],fuzzy,100.0
microeconomics tutor,"['25-3099.00', '25-3099.02']",fuzzy,100.0
microscopist,['19-1022.00'],exact,100.0
microsoft solutions consultant,"['13-1111.00', '13-1199.00', '13-1199.02', '15-1143.01', '15-1199.00', '15-2021.00', '19-3032.00', '41-2031.00']",fuzzy,100.0
miniature microminiature component technician re certifier,['45-2011.00'],fuzzy,100.0
ministere des finances peoplesoft erp build operations project manager,['19-2041.02'],fuzzy,100.0
ministry operations coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
ministry relations manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
mobile groomer,"['39-2021.00', '45-2093.00']",fuzzy,100.0
mobility specialist business,['29-1122.01'],fuzzy,100.0
mobility specialist enterprise,['29-1122.01'],fuzzy,100.0
mobility specialist key accounts,['29-1122.01'],fuzzy,100.0
model freelance advertising editorial stylist,"['11-2011.00', '27-3043.04', '43-9031.00', '43-9199.00']",fuzzy,100.0
mortgage loan officer,['13-2072.00'],exact,100.0
mortgage loan originator,['13-2072.00'],exact,100.0
mortgage processor,['43-4131.00'],exact,100.0
mortgage underwriter reps and warrants analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
motor transportation operator,"['53-4011.00', '53-4041.00']",fuzzy,100.0
msp operations manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
multi functional multi operator,"['11-3051.03', '39-3091.00', '43-2011.00', '43-2021.00', '43-2099.00', '43-5032.00', '47-2071.00', '47-2073.00', '47-4061.00', '47-5013.00', '47-5049.00', '47-5071.00', '49-9099.01', '51-3092.00', '51-4021.00', '51-4031.00', '51-4081.00', '51-4122.00', '51-7041.00', '51-8012.00', '51-8013.00', '51-8091.00', '51-8093.00', '51-8099.01', '51-8099.03', '51-8099.04', '51-9011.00', '51-9021.00', '51-9041.00', '51-9198.00', '51-9199.00', '51-9199.01', '53-4011.00', '53-7011.00', '53-7021.00', '53-7032.00', '53-7064.00']",fuzzy,100.0
multi site supervisor,['47-1011.00'],fuzzy,100.0
municipal bond trading,['43-4011.00'],fuzzy,100.0
music director worship leader,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
music library technician graphics,"['25-4021.00', '25-4031.00', '43-4121.00']",fuzzy,100.0
musician,"['27-2041.04', '27-2042.00', '27-2042.01', '27-2042.02']",exact,100.0
musician and music educator,"['21-1091.00', '25-2012.00', '25-2021.00', '25-2022.00', '25-2031.00', '25-3021.00']",fuzzy,100.0
national accounts credit and collections,['43-3011.00'],fuzzy,100.0
national operations and transportation manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
national property manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
national research director,"['11-9199.11', '15-1199.12', '19-2041.02', '19-3091.02', '27-2012.01', '27-2012.02', '27-2012.03', '27-4014.00', '27-4032.00', '41-1012.00']",fuzzy,100.0
national sales manager currency select,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
national sales manager electronics,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
national visual marketing manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
network engineer,"['15-1133.00', '15-1143.00', '15-1143.01', '15-1152.00', '15-1199.02', '17-2061.00']",exact,100.0
network engineer implementation,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
network security analyst,"['15-1122.00', '15-1143.00']",exact,100.0
networking,['25-1021.00'],fuzzy,100.0
neurocritical care physician,"['29-1011.00', '29-1062.00', '29-1063.00', '29-1064.00', '29-1065.00', '29-1067.00', '29-1069.00', '29-1069.01', '29-1069.02', '29-1069.04', '29-1069.05', '29-1069.06', '29-1069.08', '29-1069.10', '29-1069.11', '29-1069.12', '29-1071.00', '29-1081.00', '29-1199.04']",fuzzy,100.0
neurosurgery physician,"['29-1011.00', '29-1062.00', '29-1063.00', '29-1064.00', '29-1065.00', '29-1067.00', '29-1069.00', '29-1069.01', '29-1069.02', '29-1069.04', '29-1069.05', '29-1069.06', '29-1069.08', '29-1069.10', '29-1069.11', '29-1069.12', '29-1071.00', '29-1081.00', '29-1199.04']",fuzzy,100.0
new business analyst,"['13-1023.00', '13-1051.00', '13-2031.00', '13-2041.00', '13-2051.00', '13-2052.00']",fuzzy,100.0
new england pa regional manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
new vehicle sales,"['13-1199.06', '35-3022.01', '41-1012.00', '41-2011.00', '41-2022.00', '41-2031.00', '41-3021.00', '41-3031.02', '41-3099.00', '41-3099.01', '41-4011.07', '41-4012.00', '41-9099.00', '43-4011.00', '43-4151.00', '43-5081.01', '43-5081.02']",fuzzy,100.0
nida t32 postdoctoral research fellow department of psychiatry,"['11-9071.00', '51-1011.00']",fuzzy,100.0
night porter,"['37-2011.00', '39-6011.00']",fuzzy,100.0
nightlife special event coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
nightshift machine shop,"['47-2211.00', '49-9041.00']",fuzzy,100.0
nigms ipert research scholar,"['11-9041.01', '11-9121.00', '11-9121.01', '17-2021.00', '17-2112.01', '17-2199.01', '17-3029.00', '17-3029.11', '19-1021.00', '19-1029.01', '19-1042.00', '19-3011.00', '19-3022.00', '19-3041.00', '19-3091.01', '19-3093.00', '19-4011.01', '19-4021.00', '19-4031.00', '19-4041.02', '19-4061.00', '19-4099.00', '19-4099.01', '19-4099.03', '23-2011.00', '25-1191.00', '29-2011.00', '43-9111.00', '43-9111.01']",fuzzy,100.0
noc engineer,['15-1143.00'],exact,100.0
north american payroll benefit specialist,['13-1141.00'],fuzzy,100.0
npi logistics engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
npi systems engineer global operations,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
nuclear medicine technologist,"['29-2031.00', '29-2033.00']",exact,100.0
nuclear power training,['13-1151.00'],fuzzy,100.0
nurse,"['29-1141.00', '29-1141.01', '29-1141.02', '29-1141.03', '31-1014.00']",exact,100.0
nurse practitioner,['29-1171.00'],exact,100.0
nurse recruiter,"['29-1141.00', '29-1141.01', '29-1141.02', '29-1141.03', '31-1014.00']",fuzzy,100.0
nurse unit manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
nursing,"['31-1011.00', '31-1013.00', '31-1014.00']",exact,100.0
o m engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
occupationnal integration facilitator,"['23-1022.00', '51-1011.00']",fuzzy,100.0
ocean specialist,['43-5011.01'],fuzzy,100.0
of,['11-9111.00'],exact,100.0
of communications,['27-3031.00'],fuzzy,100.0
of communications and government affairs,['27-3031.00'],fuzzy,100.0
of communications trade continuity,['27-3031.00'],fuzzy,100.0
of design front end developer,"['27-1025.00', '27-1027.00']",fuzzy,100.0
of diversity equity and inclusion,['11-9111.00'],fuzzy,100.0
of energy systems integration,['47-4099.03'],fuzzy,100.0
of europe and central asia trade continuity,['11-9111.00'],fuzzy,100.0
of internal,['13-2081.00'],fuzzy,100.0
of marketing,['11-2021.00'],exact,100.0
of oncology diagnostics emea subregion north west,['11-9111.00'],fuzzy,100.0
of organizational development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
of people organization development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
of southern africa trade agreements trade for development,"['11-3011.00', '11-3131.00', '11-9121.00', '11-9121.01', '11-9199.10', '13-1131.00', '13-1151.00', '19-2031.00', '19-2041.03', '51-8091.00']",fuzzy,100.0
of trade policy southern africa,['11-9111.00'],fuzzy,100.0
office,"['43-4071.00', '43-4171.00', '43-6011.00', '43-6014.00', '43-9061.00']",exact,100.0
office administrator,"['43-6011.00', '43-6014.00', '43-9061.00']",exact,100.0
office aide,['43-9061.00'],exact,100.0
office manager,"['11-1021.00', '11-3011.00', '43-1011.00', '43-3021.02', '43-4041.01']",exact,100.0
office manager crisis specialist,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
officer human resources talent acquisition hrbp,"['11-3121.00', '43-3051.00', '43-4071.00', '43-4161.00']",fuzzy,100.0
officer iam cybersecurity engineer,"['11-9041.00', '17-2021.00', '17-2031.00', '17-2041.00', '17-2051.00', '17-2051.01', '17-2061.00', '17-2071.00', '17-2072.00', '17-2111.02', '17-2112.00', '17-2112.01', '17-2141.00', '17-2141.01', '17-2141.02', '17-2151.00', '17-2161.00', '17-2171.00', '17-2199.00', '17-2199.05', '17-2199.06', '17-2199.10', '17-2199.11', '17-3012.02', '17-3022.00', '17-3023.03', '27-4012.00', '49-9071.00', '53-4012.00', '53-4013.00', '53-4021.00', '53-5031.00']",fuzzy,100.0
ohio legislative fellow,"['13-1199.00', '23-2099.00']",fuzzy,100.0
oilfield maintenance,"['17-3024.00', '37-2011.00', '49-9043.00', '49-9071.00', '49-9098.00']",fuzzy,100.0
operador sac e commerce,['21-1011.00'],fuzzy,100.0
operation coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
operational risk management,['43-6011.00'],fuzzy,100.0
operations,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",exact,100.0
operations administrative,"['13-1199.00', '43-3021.00', '43-3021.02', '43-4141.00', '43-6011.00', '43-6013.00', '43-6014.00']",fuzzy,100.0
operations analyst,"['13-1111.00', '15-1152.00', '15-2031.00', '17-3029.07']",exact,100.0
operations and development coordinator,"['11-3061.00', '21-1012.00', '43-1011.00', '51-1011.00']",fuzzy,100.0
operations co op,"['29-1199.05', '29-2091.00', '33-3012.00']",fuzzy,100.0
operations engineer,"['17-2112.00', '17-2171.00']",exact,100.0
operations manager,"['11-1021.00', '11-3051.02', '11-3051.03', '11-3051.04', '11-3051.06', '11-9061.00', '11-9199.09', '17-2171.00', '27-2012.05', '43-5011.00', '51-1011.00', '53-1011.00']",exact,100.0
operations program manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
operations research teacher s,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",fuzzy,100.0
operations supervisor,"['11-1021.00', '11-3051.02', '11-3051.04', '11-3051.06', '11-9131.00', '51-1011.00', '53-1011.00', '53-1031.00', '53-2022.00']",exact,100.0
operations team manager,"['11-1021.00', '11-3031.02', '11-3061.00', '11-3071.03', '11-9141.00', '11-9199.11', '41-1012.00']",fuzzy,100.0
operations to,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",fuzzy,100.0
operations trainee,"['13-1199.00', '33-1021.01', '43-5081.01', '43-6014.00']",fuzzy,100.0
